"age","mean_height","sex"
1,66.2123456284153,"boys"
2,82.1049501369863,"boys"
3,91.8161961643836,"boys"
4,99.794114520548,"boys"
5,106.657805737705,"boys"
6,112.890163636364,"boys"
7,118.620341666667,"boys"
8,124.293066666667,"boys"
9,129.704275,"boys"
10,134.961866666667,"boys"
11,140.190333333333,"boys"
12,145.7767,"boys"
13,152.193816666667,"boys"
14,159.370016666667,"boys"
15,165.983816666667,"boys"
16,170.908775,"boys"
17,174.064291666667,"boys"
18,175.687675,"boys"
19,176.354816666667,"boys"
1,64.5509232240437,"girls"
2,80.5501567123288,"girls"
3,90.5763909589041,"girls"
4,98.9856161643836,"girls"
5,106.140021857924,"girls"
6,112.153954545455,"girls"
7,117.736933333333,"girls"
8,123.43145,"girls"
9,129.259483333333,"girls"
10,135.293216666667,"girls"
11,141.533333333333,"girls"
12,147.897683333333,"girls"
13,153.721616666667,"girls"
14,158.083583333333,"girls"
15,160.758958333333,"girls"
16,162.12045,"girls"
17,162.691991666667,"girls"
18,162.953858333333,"girls"
19,163.116825,"girls"
